,station,max_departure,station_name,station_lat,station_lng,max_arrival
232,865,1.0,Public Rack - Kilbourn Ave & Fullerton Ave,41.92,-87.74,0.0
233,890,1.0,Public Rack - Colfax Ave & 83rd St,41.74,-87.56,2.0
234,902,1.0,Hoyne Ave & 110th Pl,41.69,-87.67,1.0
235,968,1.0,Public Rack - Leclaire Ave & Division St,41.9,-87.75,1.0
237,393,1.0,Oketo Ave & Addison St,41.94,-87.81,1.0
238,396,1.0,Central Ave & Roscoe St,41.94,-87.77,1.0
239,569,1.0,Woodlawn Ave & 75th St,41.75916,-87.595751,2.0
240,733,1.0,Public Rack - East End Ave & 75th St,41.76,-87.58,0.0
241,20103,1.0,Prospect Sq & 91st St,41.7282338,-87.6675239,1.0
242,441,1.0,Virginia Ave & Catalpa Ave,41.98,-87.7,1.0
243,1052,2.0,Public Rack - Rockwell & Division,41.9,-87.69,1.0
244,1067,2.0,Public Rack - Pulaski Rd & Grenshaw St,41.87,-87.73,2.0
245,15597,2.0,Halsted St & 69th St,41.769065833333336,-87.64450716666667,2.0
246,15687,2.0,Central Park Ave & 24th St,41.8481195,-87.715145,3.0
247,15691,2.0,Albany Ave & 26th St,41.84447501366,-87.7020130128,2.0
248,15692,2.0,California Ave & 26th St,41.84371183333333,-87.69493466666667,1.0
249,16906,2.0,Austin Blvd & Lake St,41.88794379427211,-87.77427345514297,2.0
250,16920,2.0,Central Ave & Chicago Ave,41.894958,-87.764902,2.0
251,16921,2.0,Austin Blvd & Chicago Ave,41.89483233333333,-87.77455766666667,2.0
252,16932,2.0,Ashland Ave & Pershing Rd,41.823465,-87.665577,2.0
254,16950,2.0,Ashland Ave & 66th St,41.774034977,-87.663771749,1.0
255,18025,2.0,Carpenter St & 63rd St,41.77987,-87.650919,1.0
256,20101,2.0,Summit Ave & 86th St,41.73784847673341,-87.64489978551863,3.0
257,20105,2.0,Halsted St & 96th St,41.71971218361882,-87.6430195569992,2.0
258,20108,2.0,Hale Ave & 107th St,41.6992095,-87.66883383333334,1.0
259,20109,2.0,Vernon Ave & 107th St,41.700121,-87.61226,1.0
260,20120,2.0,Stewart Ave & 83rd St,41.743717,-87.634088,2.0
261,20124,2.0,Vincennes Ave & 104th St,41.704994166666665,-87.65701066666666,2.0
262,20202,2.0,W 103rd St & S Avers Ave,41.71,-87.72,2.0
263,20203,2.0,Lawndale Ave & 111th St,41.88545333333333,-87.66084533333333,2.0
264,20206,2.0,Homewood Ave & 115th St,41.684574833333336,-87.67075566666666,1.0
265,20213,2.0,Commercial Ave & 130th St,41.659150427597744,-87.55076229572296,2.0
266,20230,2.0,Clyde Ave & 87th St,41.73715146431056,-87.57274031639099,1.0
267,20232,2.0,Big Marsh Park,41.685877,-87.573824,2.0
268,20233,2.0,Halsted St & 78th St,41.75255333333333,-87.64375216666667,2.0
269,20237,2.0,Yates Blvd & 93rd St,41.72616639024511,-87.5662761926651,1.0
270,20241,2.0,Steelworkers Park,41.74,-87.53,2.0
271,20244,2.0,Halsted St & 73rd St,41.76160543804394,-87.64416097666071,2.0
272,20249.0,2.0,N Clark St & W Elm St,41.9,-87.63,2.0
273,2059 Hastings Warehouse Station,2.0,NewHastings,41.924695492,-87.700619936,0.0
