,station,station_name,station_lat,station_lng,arrival_pred,demand_pred,difference
99,SL-013,State St & 19th St,41.856594,-87.627542,18.0,7.0,11.0
100,TA1307000138,Wood St & Webster Ave,41.92105672992757,-87.67279744148254,0.0,0.0,0.0
101,TA1308000045,Wallace St & 35th St,41.83060366666667,-87.64129316666667,0.0,-0.0,0.0
102,TA1308000047,Southport Ave & Clark St,41.95714266666667,-87.6641905,14.0,7.0,7.0
103,TA1309000050,Lincoln Ave & Addison St,41.946214833333336,-87.67335733333333,0.0,2.0,-2.0
104,13081,Ogden Ave & Congress Pkwy,41.875009,-87.673263,11.0,10.0,1.0
105,13253,Lincoln Ave & Waveland Ave,41.948794603,-87.675231338,9.0,9.0,0.0
106,13326,Canal St & Harrison St,41.874255,-87.639573,43.0,0.0,43.0
107,15445,Wentworth Ave & 33rd St,41.83453,-87.631823,5.0,22.0,-17.0
108,15491,63rd St Beach,41.78091096424803,-87.57632374763489,7.0,0.0,7.0
109,15622,California Ave & Montrose Ave,41.961068,-87.695439,2.0,2.0,0.0
110,15623,Campbell Ave & Montrose Ave,41.961526,-87.691165,0.0,15.0,-15.0
111,15645,Richmond St & Diversey Ave,41.93190196886,-87.7011951301,42.0,6.0,36.0
112,18069,Cherry Ave & Blackhawk St,41.907221,-87.655618,2.0,0.0,2.0
113,520,Greenview Ave & Jarvis Ave,42.015962,-87.66857,9.0,11.0,-2.0
114,631,Malcolm X College Vaccination Site,41.877618,-87.673895,0.0,0.0,0.0
115,E002,Chicago Ave & Washington St,42.032592416,-87.679253817,3.0,9.0,-6.0
116,Hubbard Bike-checking (LBS-WH-TEST),Base - 2132 W Hubbard,41.93625,-87.653801,0.0,0.0,0.0
117,KA1503000004,Lake Park Ave & 35th St,41.83127423549,-87.6087991946,12.0,16.0,-4.0
118,KA1504000093,Rockwell St & Eastwood Ave,41.9659,-87.693638,0.0,0.0,0.0
119,KA1504000140,Winchester Ave & Elston Ave,41.92409085038,-87.6764600747,7.0,0.0,7.0
120,KA1504000148,Clark St & Elmdale Ave,41.99086044812557,-87.66972362995148,0.0,0.0,0.0
121,TA1307000044,Clinton St & 18th St,41.857913613,-87.640862584,0.0,38.0,-38.0
122,TA1308000046,Morgan St & 31st St,41.8378,-87.65114,8.0,5.0,3.0
123,TA1309000032,Elston Ave & Wabansia Ave,41.91297266666667,-87.6641735,5.0,3.0,2.0
124,15653,Troy St & North Ave,41.90976930169,-87.7052804871,5.0,0.0,5.0
125,KA1504000142,Drake Ave & Addison St,41.94746516666667,-87.71763183333333,0.0,0.0,0.0
126,KA17018054,Damen Ave & Walnut (Lake) St,41.88592233333333,-87.6770965,12.0,4.0,8.0
127,TA1309000021,Paulina St & Montrose Ave,41.961507,-87.671387,36.0,-0.0,36.0
128,13249,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,2.0,0.0,2.0
129,13268,Damen Ave & Wellington Ave,41.935916,-87.67836216666667,0.0,4.0,-4.0
130,13345,Calumet Ave & 35th St,41.831379,-87.618034,13.0,24.0,-11.0
131,13354,Ashland Ave & 13th St,41.865238,-87.6664915,11.0,5.0,6.0
132,13398,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,4.0,5.0,-1.0
133,15651,Humboldt Blvd & Armitage Ave,41.91751339399,-87.7018089555,23.0,-0.0,23.0
134,15668,Western Ave & Congress Pkwy,41.87458566666667,-87.68618483333333,0.0,5.0,-5.0
135,202480.0,Hampden Ct & Diversey Ave,41.93,-87.64,0.0,5.0,-5.0
136,20252.0,W Oakdale Ave & N Broadway,41.94,-87.64,0.0,-0.0,0.0
137,428,Milwaukee Ave & Fullerton Ave,41.92,-87.7,22.0,4.0,18.0
138,660,Sheridan Rd & Columbia Ave,42.00450216666667,-87.6614825,10.0,0.0,10.0
139,KA1503000034,LaSalle St & Adams St,41.87934437346,-87.6319852213,0.0,0.0,0.0
140,KA1503000052,Ellis Ave & 53rd St,41.79940486,-87.600990891,7.0,6.0,1.0
141,KA1504000101,Ogden Ave & Roosevelt Rd,41.86652683333333,-87.68442916666666,10.0,4.0,6.0
142,KA1504000149,Damen Ave & Foster Ave,41.975661333333335,-87.67940816666666,0.0,3.0,-3.0
143,TA1307000005,Indiana Ave & 26th St,41.84568933333333,-87.62248983333333,5.0,18.0,-13.0
144,KA1504000156,Clark St & Schreiber Ave,41.99924983333333,-87.67137216666667,5.0,9.0,-4.0
145,TA1308000035,Lake Park Ave & 47th St,41.809443,-87.591875,0.0,0.0,0.0
146,13037,Clinton St & Tilden St,41.8758875,-87.64053833333334,0.0,0.0,0.0
147,13143,Damen Ave & Melrose Ave,41.9406,-87.6785,0.0,7.0,-7.0
148,13241,Western Ave & Division St,41.90294466666667,-87.6872745,26.0,19.0,7.0
149,13256,California Ave & Division St,41.903029,-87.697474,6.0,6.0,0.0
150,15642,California Ave & Fletcher St,41.938457666666665,-87.69810616666666,5.0,7.0,-2.0
151,15655,Albany Ave & Bloomingdale Ave,41.91401316666666,-87.705163,0.0,5.0,-5.0
152,15664,Artesian Ave & Hubbard St,41.88954,-87.68806516666666,0.0,0.0,0.0
153,KA1503000021,Stony Island Ave & 64th St,41.778881,-87.586647,28.0,2.0,26.0
154,KA17018068,Leavitt St & Belmont Ave,41.939354,-87.683282,14.0,10.0,4.0
155,TA1307000156,Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,0.0,33.0,-33.0
156,TA1308000006,Damen Ave & Grand Ave,41.89239445296271,-87.67688512802124,15.0,2.0,13.0
157,TA1309000015,Leavitt St & Lawrence Ave,41.968885,-87.684001,0.0,35.0,-35.0
158,TA1309000018,Ravenswood Ave & Berteau Ave,41.957898,-87.67361216666667,5.0,21.0,-16.0
159,TA1308000013,Halsted St & Archer Ave,41.847190619,-87.646875143,25.0,11.0,14.0
160,TA1309000012,Damen Ave & Sunnyside Ave,41.96325,-87.679258,10.0,8.0,2.0
161,654,Racine Ave & Washington Blvd,41.88307733333333,-87.65709116666666,7.0,31.0,-24.0
162,RP-009,Sheridan Rd & Loyola Ave,42.00104377979,-87.6611982433,30.0,10.0,20.0
163,13073,Ashland Ave & Lake St,41.88592,-87.66717,29.0,32.0,-3.0
164,13144,Seeley Ave & Roscoe St,41.943403,-87.679618,20.0,0.0,20.0
165,13155,Racine Ave & Randolph St,41.884069,-87.656853,15.0,13.0,2.0
166,13197,Elizabeth (May) St & Fulton St,41.886616486027656,-87.6580399274826,0.0,24.0,-24.0
167,13206,Loomis St & Jackson Blvd,41.877945,-87.662007,19.0,2.0,17.0
168,13242,Milwaukee Ave & Rockwell St,41.92019556200566,-87.69265919923781,1.0,0.0,1.0
169,13248,Ashland Ave & Augusta Blvd,41.8995855,-87.66839483333334,6.0,9.0,-3.0
170,13259,California Ave & Francis Pl (Temp),41.918637833333335,-87.69737266666667,0.0,5.0,-5.0
171,13288,Damen Ave & Charleston St,41.920082,-87.677855,20.0,5.0,15.0
172,13307,Laflin St & Cullerton St,41.854906166666666,-87.6636865,14.0,30.0,-16.0
173,13331,May St & Cullerton St,41.8551085,-87.6541535,0.0,0.0,0.0
174,15443,Shields Ave & 28th Pl,41.84283233333333,-87.63547183333333,14.0,14.0,0.0
175,15546,Calumet Ave & 21st St,41.85418424947,-87.6191537415,-0.0,9.0,-9.0
176,15644,Central Park Ave & Elbridge Ave,41.935322166666666,-87.71689233333333,6.0,6.0,0.0
177,18058,Leavitt St & Chicago Ave,41.89540733333333,-87.68192733333333,19.0,0.0,19.0
178,637,Wood St & Chicago Ave,41.895589232,-87.672103643,17.0,0.0,17.0
179,658,Leavitt St & Division St,41.902967333333336,-87.68369766666666,24.0,16.0,8.0
180,KA1504000175,Glenwood Ave & Morse Ave,42.00793633333333,-87.66540783333333,26.0,16.0,10.0
181,TA1306000002,Morgan Ave & 14th Pl,41.862412166666665,-87.65112233333333,5.0,8.0,-3.0
182,TA1306000008,Larrabee St & North Ave,41.910091758,-87.643504381,3.0,0.0,3.0
183,TA1307000143,Sedgwick St & Schiller St,41.907626,-87.638566,33.0,32.0,1.0
184,TA1307000144,Wolcott (Ravenswood) Ave & Montrose Ave,41.96142483333333,-87.67620483333333,7.0,11.0,-4.0
185,TA1307000158,Damen Ave & Leland Ave,41.967028618,-87.679038286,3.0,13.0,-10.0
186,TA1308000036,Indiana Ave & 31st St,41.838842,-87.621857,33.0,18.0,15.0
187,13258,California Ave & North Ave,41.9104754,-87.6968944,23.0,0.0,23.0
188,13271,Damen Ave & Clybourn Ave,41.931931,-87.677856,7.0,16.0,-9.0
189,TA1308000031,Logan Blvd & Elston Ave,41.92947266666667,-87.6841125,-0.0,2.0,-2.0
190,13124,Cannon Dr & Fullerton Ave,41.92671633333333,-87.63448216666667,0.0,0.0,0.0
191,13135,Blue Island Ave & 18th St,41.8574505,-87.66168233333333,7.0,0.0,7.0
192,13164,Racine Ave & 18th St,41.858166,-87.656495,22.0,7.0,15.0
193,13247,Ashland Ave & Chicago Ave,41.8951727127816,-87.66754701733589,3.0,6.0,-3.0
194,13257,Campbell Ave & North Ave,41.910535,-87.689556,11.0,4.0,7.0
195,13266,Stave St & Armitage Ave,41.917741,-87.691392,1.0,0.0,1.0
196,13296,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,1.0,0.0,1.0
197,13434,Ashland Ave & Grand Ave,41.891072,-87.666611,29.0,1.0,28.0
198,17660,California Ave & Cortez St,41.900363,-87.696704,4.0,14.0,-10.0
199,18003,Fairbanks St & Superior St,41.895824,-87.62021433333334,9.0,5.0,4.0
200,644,Western Ave & Fillmore St,41.868672,-87.686327,7.0,13.0,-6.0
201,E008,Chicago Ave & Sheridan Rd,42.0504205,-87.67770983333334,3.0,5.0,-2.0
202,KA1503000059,Lake Park Ave & 53rd St,41.79949429373,-87.5864498959,9.0,14.0,-5.0
203,SL-009,Clark St & 9th St (AMLI),41.870816,-87.631246,5.0,9.0,-4.0
204,TA1306000007,Larrabee St & Menomonee St,41.91467466666667,-87.64333216666667,0.0,16.0,-16.0
205,TA1307000061,State St & Pearson St,41.897448,-87.628722,15.0,12.0,3.0
206,TA1307000129,State St & 35th St,41.8310363140161,-87.62679755687714,3.0,0.0,3.0
207,TA1309000029,Leavitt St & Armitage Ave,41.9178695,-87.6826315,5.0,0.0,5.0
208,15650,Spaulding Ave & Armitage Ave,41.91705283333334,-87.71018016666666,1.0,0.0,1.0
209,TA1305000001,Wabash Ave & Cermak Rd,41.8525705,-87.62659783333334,30.0,3.0,27.0
210,15571,Broadway & Granville Ave,41.994882107,-87.660295367,2.0,7.0,-5.0
211,13059,Sheridan Rd & Argyle St,41.9732865,-87.65480783333334,41.0,13.0,28.0
212,13080,Hermitage Ave & Polk St,41.871514,-87.669886,33.0,1.0,32.0
213,13215,Rhodes Ave & 32nd St,41.836713195,-87.613425255,36.0,11.0,25.0
214,13290,Noble St & Milwaukee Ave,41.90068,-87.6626,7.0,6.0,1.0
215,13319,Ashland Ave & Grace St,41.950687,-87.6687,1.0,0.0,1.0
216,18067,Walsh Park,41.91461,-87.667968,5.0,19.0,-14.0
217,604,Sheridan Rd & Noyes St (NU),42.058239,-87.677432,0.0,6.0,-6.0
218,636,Orleans St & Hubbard St,41.890028,-87.636618,11.0,18.0,-7.0
219,657,Wood St & Augusta Blvd,41.899180889,-87.672245383,52.0,10.0,42.0
220,KA1503000038,Shields Ave & 31st St,41.83828166666667,-87.6353285,26.0,17.0,9.0
221,KA1503000074,Museum of Science and Industry,41.79172820953,-87.583945009,0.0,0.0,0.0
222,KA1504000103,Western Ave & Walton St,41.89841768945,-87.6865960164,3.0,0.0,3.0
223,TA1307000115,Clybourn Ave & Division St,41.904613,-87.640552,9.0,10.0,-1.0
224,TA1307000159,Paulina St & 18th St,41.857901,-87.668745,7.0,7.0,0.0
225,TA1306000006,Orleans St & Elm St,41.902924,-87.637715,3.0,0.0,3.0
226,TA1309000026,Lincoln Ave & Belle Plaine Ave,41.95600355078549,-87.68016144633293,4.0,12.0,-8.0
227,TA1309000041,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,9.0,18.0,-9.0
228,KA1503000007,Cornell Ave & Hyde Park Blvd,41.80277066666667,-87.58632166666666,6.0,19.0,-13.0
229,KA1503000070,Harper Ave & 59th St,41.78794281287,-87.5883151702,21.0,5.0,16.0
230,15575,Broadway & Thorndale Ave,41.98974251144,-87.6601406209,0.0,0.0,0.0
231,15578,Broadway & Ridge Ave,41.984071666666665,-87.66025133333333,-0.0,12.0,-12.0
232,596,Benson Ave & Church St,42.048214,-87.683485,0.0,0.0,0.0
233,624,Dearborn St & Van Buren St,41.876268,-87.629155,10.0,14.0,-4.0
234,KA1503000022,Clark St & Montrose Ave,41.961588,-87.666036,40.0,40.0,0.0
235,TA1305000010,Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,10.0,8.0,2.0
236,TA1307000119,Clarendon Ave & Leland Ave,41.967968,-87.650001,5.0,10.0,-5.0
237,TA1307000149,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,7.0,15.0,-8.0
238,TA1308000005,Leavitt St & North Ave,41.91008516666667,-87.68239716666666,29.0,14.0,15.0
239,SL-007,State St & Harrison St,41.874053,-87.627716,0.0,0.0,0.0
240,13053,Green St & Washington Blvd,41.88318130597391,-87.64872461557388,0.0,21.0,-21.0
241,13102,Calumet Ave & 18th St,41.857611,-87.619407,0.0,6.0,-6.0
242,13269,Ashland Ave & Wellington Ave,41.9361065,-87.66988516666666,12.0,9.0,3.0
243,13289,Eckhart Park,41.89637337,-87.66098386,23.0,40.0,-17.0
244,KA1504000116,Larrabee St & Oak St,41.90021949323,-87.6429854676,2.0,4.0,-2.0
245,TA1305000039,Elston Ave & Cortland St,41.9165165,-87.6666725,0.0,11.0,-11.0
246,TA1307000048,Fort Dearborn Dr & 31st St,41.838556,-87.608218,0.0,0.0,0.0
247,TA1307000070,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,11.0,8.0,3.0
248,TA1307000124,Michigan Ave & 14th St,41.864059,-87.623727,7.0,7.0,0.0
249,TA1309000006,Larrabee St & Armitage Ave,41.918084,-87.643749,7.0,8.0,-1.0
250,TA1309000055,Emerald Ave & 31st St,41.83820951,-87.64523077,29.0,19.0,10.0
251,13285,Wood St & Taylor St (Temp),41.869327,-87.67350266666666,7.0,2.0,5.0
252,13409,Sangamon St & Washington Blvd,41.883165,-87.6511,6.0,53.0,-47.0
253,KA1504000171,Marine Dr & Ainslie St,41.9716,-87.650154,11.0,10.0,1.0
254,KA1706005007,Delano Ct & Roosevelt Rd,41.867491,-87.63219,31.0,35.0,-4.0
255,SL-012,Wabash Ave & 16th St,41.860384,-87.625813,31.0,10.0,21.0
256,TA1309000014,Clark St & Leland Ave,41.96705642894563,-87.6669904589653,24.0,14.0,10.0
257,TA1309000043,Southport Ave & Irving Park Rd,41.954177,-87.664358,14.0,11.0,3.0
258,TA1309000059,Racine Ave & Wrightwood Ave,41.928887,-87.658971,0.0,11.0,-11.0
259,WL-008,Clinton St & Roosevelt Rd,41.86703266666667,-87.64108116666667,26.0,8.0,18.0
260,TA1309000030,Southport Ave & Clybourn Ave,41.920822501,-87.66378808,8.0,7.0,1.0
261,TA1309000063,Lake Park Ave & 56th St,41.79331216666667,-87.5877055,8.0,4.0,4.0
262,13006,LaSalle St & Washington St,41.882664,-87.63253,22.0,8.0,14.0
263,13068,Western Ave & Winnebago Ave,41.91552,-87.687022,9.0,13.0,-4.0
264,13150,Michigan Ave & 18th St,41.857813,-87.62455,36.0,16.0,20.0
265,13196,Carpenter St & Huron St,41.894555807,-87.653463006,17.0,31.0,-14.0
266,13224,Ashland Ave & Blackhawk St,41.90707066666667,-87.667245,0.0,0.0,0.0
267,15550,Canal St & Taylor St,41.870257,-87.639474,27.0,25.0,2.0
268,20246.0,N Green St & W Lake St,41.89,-87.65,0.0,17.0,-17.0
